code,default,en,id,jp
meet.our.people,meet.our.people,Meet Our People,Talent kami,MPMRentスタッフ紹介
we.want.to.be.part.of.your.business,we.want.to.be.part.of.your.business,We want to be part of your business,Kami ingin menjadi bagian dari bisnis Anda,お問合わせをお待ちしております。
contact.us,contact.us,Contact Us,Hubungi Kami,お問い合わせ
our.head.office,our.head.office,Our Head Office,Kantor Pusat,本社
find.us,FIND US,FIND US,TEMUKAN KAMI,弊社へのアクセス
to.request.a.quote.or.want.to.meet.up.some.coffee.contact.us.directly.or.fill.out.the.form.and.we.will.get.back.to.you.promptly,"to.request.a.quote.or.want.to.meet.up.some.coffee,.contact.us.directly.or.fill.out.the.form,.and.we.will.get.back.to.you.promptly","To request a quote or want to meet up some coffee, contact us directly or fill out the form, and we will get back to you promptly","Untuk meminta penawaran atau ingin bertemu, hubungi kami langsung atau isi formulir, dan kami akan segera menghubungi Anda",
24.hours.contact.center.agent,24 hours contact center agent,24 hours contact center agent,Agen <i>contact center</i> kami tersedia selama 24 jam,コンタクトセンターにて２４時間、
contact.center,contact.center,Contact Center,Contact center,コンタクトセンター（24時間：英語、インドネシア語）
follow.us,follow.us,Follow us,Ikuti kami, フォローする
lets.talk,Let's Talk,Let's Talk,Hubungi Kami,ご連絡下さい
our.services,our.services,Our Services,Layanan Kami,私たちのサービス
home.service.subtitle.section,home_service.subtitle_section,"As we are customer centric transportation services company, we ensure you the utmost reliability in our well-maintained fleet and the whole experience of renting car is smooth, fast, and hassle-free.","Sebagai perusahaan jasa yang mengutamakan kepuasan pelanggan, kami menjamin setiap armada kami selalu dalam kondisi prima dan senantiasa memberikan layanan penyewaan mobil yang mudah, cepat, dan bebas repot. ",当社は、お客様重視の輸送サービス会社として、安心してサービスをご利用頂く為に、レンタカー車両について十分なメンテナンスをしております。またレンタルに関する手続きをスムーズにし、お手間のかからないように致します
long.term.rental,long.term.rental,Long Term Rental,Rental Jangka Panjang,長期レンタル
short.term.rental,short.term.rental,Short Term Rental,Rental Jangka Pendek,短期レンタル
fleet.management.system,fleet.management.system,Fleet Management System,<i>Fleet Management System</i>,レンタル車両管理システム
driver.services,driver.services,Driver Services,Pelayanan Pengemudi,運転手サービス
japanese.clients.business.unit,japanese.clients.business.unit,Japanese Clients Business Unit,Unit Bisnis Klien Jepang,
auction.and.pre.owned.car,auction.and.pre-owned.car,Auction and Pre-owned Cars,Balai Lelang Dan Jual-Beli Mobil Bekas,中古車オークション
learn.more,learn.more,Learn More,Pelajari lebih lanjut,Learn more
back.to.news,back.to.news,Back to News,Kembali ke halaman Berita,ニュースに戻る
other.news,other.news,Other News,Berita Lain,
latest.news,latest.news,Latest News,Berita Terbaru,最新ニュース
our.networks,our.networks,Our Networks,Jaringan Kami,ネットワーク
we.are.available.here,we.are.available.here,We Are Available Here,Lokasi Jaringan Kami,我々のサービスは以下の地域でご利用いただけます。
head.office,head.office,Head office,Kantor Pusat,本社
branch,branch,Branch,Cabang,支店
service.representative,service.representative,Service Points,Point Layanan,Service point
about.us,about.us,About Us,Tentang Kami,会社概要
car.rentals,car.rentals,Car Rentals,Rental Mobil,カーレンタル
milestone,milestone,Milestones,Tonggak sejarah,マイルストーン
certification.awards,certification.awards,Certification & Awards,Sertifikasi & Penghargaan,認証、受賞
services,services,Services,Layanan,サービス
news,news,News,Berita,ニュース
career,career,Career,Karir,求人
contact,contact,Contact,Kontak,お問合わせ
types.of.rental.fleet,Types of Rental Fleet,Types of Rental Fleet,Jenis Armada,レンタカー車両
