code,en,id,jp
learn.more,"Learn More","Pelajari lebih lanjut",
types.of.rental.fleet,"Types of Rental Fleet","Jenis-jenis Armada",
an.array.of.exciting.car.for.rent.deals.are.waiting.just.for.you.we.have.a.complete.range.of.vehicles.to.accommodate.all.your.needs.whether.for.corporate.purpose.or.personal.pleasure,"An array of exciting car for rent deals are waiting just for you! We have a complete range of vehicles to accommodate all your needs, whether for corporate purpose or personal pleasure","Sejumlah mobil menarik untuk disewa sedang menunggu untuk Anda! Kami memiliki rangkaian lengkap kendaraan untuk mengakomodasi semua kebutuhan Anda, baik untuk tujuan perusahaan atau kesenangan pribadi",
luxury,Luxury,Kemewahan,
passenger,Passenger,Penumpang,
logistic,Logistic,Logistik,
heavy.duty,"Heavy Duty","Tugas berat",
our.services,"Our Services","Layanan Kami",
long.term.rental,"Long Term Rental","Sewa Jangka Panjang",
sort.term.rental,"Sort Term Rental","Sewa Jangka Pendek",
fleet.management.system,"Fleet Management System","Sistem Manajemen Armada",
driver.services,"Driver Services","Layanan Pengemudi",
customer.satisfaction,"Customer Satisfaction","Kepuasan pelanggan",
our.partners,"Our Partners","Partner Kami",
about.us,"About Us","Tentang Kami",
milestone,Milestone,"Tonggak sejarah",
certivications.awards,"Certifications & Awards","Sertifikasi & Penghargaan",
services,Services,Pelayanan,
short.term.rental,"Short Term Rental","Sewa Jangka Pendek",
japanese.clients.business.unit,"Japanese Clients Business Unit","Unit Bisnis Klien Jepang",
auction.and.pre.owned.car,"Auction and Pre-owned Car","Lelang dan Mobil Bekas",
our.networks,"Our Networks","Jaringan Kami",
news,News,Berita,
career,Career,Karir,
contact,Contact,Kontak,
we.offer.reliable.services.guided.by.our.core.values.of.responsible.excellent.lean.integrity.adaptive.better.loyal.and.empower,"We offer RELIABLE services guided by our core values of Responsible, Excellent, Lean, Integrity, Adaptive, Better, Loyal and Empower",,
we.offer.world.class.service.with.track.record.of.the.highest.safety.standard,"We offer world-class service with track record of the highest safety standard",,
total.fleet.in.services,"Total Fleet in Services",,
drivers,Drivers,Pengemudi,
nationwide,Nationwide,,
all.around.indonesia,"All around Indonesia","Seluruh Indonesia",
24.hours.7.days,"24 hours / 7 days","24 jam / 7 hari",
20.years.of.service,"20 years of service","20 tahun pelayanan",
certivication.awards,"Certification & Awards","Sertifikasi & Penghargaan",
mpm.rent.is.focused.on.maintaining.a.safe.working.environment.throughout.the.company.to.ensure.customer.satisfaction.employee.well.being,"MPM Rent is focused on maintaining a safe working environment throughout the company to ensure customer satisfaction & employee well-being",,
mpm.rent.has.been.awarded,"MPM Rent has been awarded",,
certifications,Certifications,Sertifikasi,
health.safety.certification,"Health & Safety Certification","Sertifikasi Kesehatan & Keselamatan",
lktp.awards,"LKTP Awards",,
we.are.available.here,"We Are Available Here","Kami Tersedia Di Sini",
car.rentals,"Car Rentals","Rental Mobil",
contact.us,"Contact Us","Kontak Kami",
explore.your.career.path.at,"Explore your career path at","Jelajahi jalur karier Anda di",
apply.now,"APPLY NOW","LAMAR SEKARANG",
in.carrying.out.it.roles.duties.and.responsibilities.the.company.applies.values.and.corporate.cultures.contained.in.the.following.three.credo.elements,"In carrying out it roles, duties, and responsibilities, the Company applies values and corporate cultures contained in the following three CREDO elements",,
progressive.thinking,"Progressive Thinking",,
we.believe.in.the.power.of.ideas.no.matter.where.they.come.from.we.embrace.new.ideas.and.new.knowledge.to.help.us.progress,"We believe in the power of ideas. No matter where they come from, we embrace new ideas and new knowledge to help us progress"," ",
active.ownership,"Active Ownership",,
we.believe.our.actions.will.impact.others,"We believe our actions will impact others",,
being.excited.to.take.personal.ownership.of.our.actions.and.being.proactive.will.lead.to.the.success.of.our.ecosystem,"Being excited to take personal ownership of our actions and being proactive will lead to the success of our ecosystem",,
collaboration,Collaboration,Kolaborasi,
we.believe.that.the.most.impactful.realization.of.our.dreams.happens.when.we.work.jointly.together.and.remove.our.constraints.to.deliver.the.collective.power.of.our.people,"We believe that the most impactful realization of our dreams happens when we work jointly together and remove our constraints to deliver the collective power of our people",,
meet.our.people,"Meet Our People","Temui Orang-Orang Kami",
we.want.to.be.part.of.your.business,"We want to be part of your business","Kami ingin menjadi bagian dari bisnis Anda",
our.head.office,"Our Head Office","Kantor Pusat kami",
find.us,"FIND US","TEMUKAN KAMI",
to.request.a.quote.or.want.to.meet.up.some.coffee.contact.us.directly.or.fill.out.the.form.and.we.will.get.back.to.you.promptly,"To request a quote or want to meet up some coffee, contact us directly or fill out the form, and we will get back to you promptly","Untuk meminta penawaran atau ingin bertemu, hubungi kami langsung atau isi formulir, dan kami akan segera menghubungi Anda",
send,SEND,KIRIM,
contact.center,"Contact Center",,
lets.talk,"Let's Talk","Mari Bicara",
back.to.news,"Back to News","Kembali ke halaman Berita",
other.news,"Other News","Berita Lain",
latest.news,"Latest News","Berita Terbaru",
,,,
home.service.subtitle.section,"As we are customer centric transportation services company, we ensure you the utmost reliability in our well-maintained fleet and the whole experience of renting car is smooth, fast, and hassle-free.","Karena kami adalah perusahaan layanan transportasi yang berpusat pada pelanggan, kami memastikan Anda mendapatkan keandalan terbaik dalam armada kami yang terawat baik dan seluruh pengalaman menyewa mobil berjalan mulus, cepat, dan tanpa kerumitan.",
japan.business.unit,"Japan Business Unit","Unit Bisnis Jepang",
head.office,"Head office","Kantor Pusat",
branch,Branch,Cabang,
service.representative,"Service Representative","Perwakilan Layanan",
read.more,"Read More","Baca lebih lanjut",
name,Name,Nama,
phone.number,"Phone Number","Nomor Telepon",
message,Message,Pesan,
follow.us,"Follow us","Ikuti kami",
auction.and.pre.owned.cars,"Auction and Pre-owned Car","Lelang dan Mobil Bekas",
certification.awards,"Certification & Awards","Sertifikasi & Penghargaan",
24.hours.contact.center.agent,,,
